,amount,currency,merchant_country,merchant_name,merchant_category,account_id,card_id,device_id,timestamp,transaction_id,is_fraud,fraud_type,original_tx_id
0,2461.9961598977006,INR,IN,Merchant_11,misc,acct_ea4bcea6df,card_d64772399570,dev_28,2025-10-08T23:04:27.000,fe38d72c-7ca6-4f98-ad35-abf52956c8dd,0,normal,none
1,531.4588737475359,INR,IN,Merchant_30,misc,acct_0f3b6ea9f8,card_be0b9688cba2,dev_23,2025-10-09T01:27:07.000,abf56934-3e80-4865-a7ab-254f0be917b8,0,normal,none
2,3862.214948712937,INR,IN,Merchant_30,misc,acct_f5cda40bea,card_b130bb90683d,dev_64,2025-10-09T05:33:04.000,9f327575-612a-41cd-b82a-204a17caf0d0,0,normal,none
3,1597.9486832179773,INR,IN,Merchant_35,misc,acct_a3efb97761,card_deead9d3138b,dev_36,2025-10-09T08:26:34.000,6532d427-1b2e-42d6-bfdd-b6f1d0f3a992,0,normal,none
4,3444.1474259298443,INR,IN,Merchant_42,misc,acct_e07ff11197,card_42e8fe5df25d,dev_49,2025-10-09T23:05:37.000,470adcfd-f924-455f-ba22-408b36aafa97,0,normal,none
5,4002.1166737023404,INR,IN,Merchant_44,misc,acct_ae64716029,card_d96e560a4ef5,dev_11,2025-10-10T02:26:30.000,273bb0a7-b09f-4c98-a4e7-2fda9065321a,0,normal,none
6,2271.6190194507844,INR,IN,Merchant_41,misc,acct_d2650b9756,card_baa38b2afedd,dev_23,2025-10-10T08:44:47.000,9e47e6cb-94ba-4b6e-bbef-9b3309935e66,0,normal,none
7,2797.6057896113107,INR,IN,Merchant_39,misc,acct_5e064b6481,card_985b9ac2340b,dev_32,2025-10-10T10:32:39.000,9075eb28-e528-4da4-a331-313eee18e34c,0,normal,none
8,1696.4068182760943,INR,IN,Merchant_48,misc,acct_4c318172fe,card_f4ff81167173,dev_42,2025-10-10T13:29:33.000,00c141a1-3d8a-4534-9d55-1c9a2dfa32c7,0,normal,none
9,3210.0130612250264,INR,IN,Merchant_3,misc,acct_2dee5a40ac,card_c5ec16f63079,dev_44,2025-10-10T14:36:48.000,4fc1279a-4774-490f-8587-700106512be1,0,normal,none
10,386.3236467202115,INR,IN,Merchant_6,misc,acct_7af0de71c0,card_51cd8ffe6251,dev_42,2025-10-10T16:06:17.000,ffff90b9-4dec-44a7-a0ff-f53917fcb75d,0,normal,none
11,1854.286576628895,INR,IN,Merchant_1,misc,acct_e4b9a7dc3a,card_aa2c0efeccb9,dev_33,2025-10-10T19:06:22.000,940636ac-2899-4660-8006-bc75b4897f1b,0,normal,none
12,3090.3945035637535,INR,IN,Merchant_49,misc,acct_810960c8a0,card_ae2e2e04474a,dev_44,2025-10-10T22:56:29.000,6fa5d7b3-4d75-4a77-8863-16bf9e712359,0,normal,none
13,2401.121655831172,INR,IN,Merchant_47,misc,acct_9f57df2b92,card_cc3914c93c96,dev_73,2025-10-11T03:10:13.000,00bd26b4-8a3f-4b28-ac1b-b77ecb778383,0,normal,none
