,transaction_id,account_id,counterparty_account,timestamp,amount,currency,merchant_country,merchant_name,merchant_category,device_id,bank_id,transaction_type,is_fraud,fraud_type,original_tx_id
0,5deaf700-f1ee-44fe-9166-f1c0b9328f6b,acct_f486317e08,acct_2556fa61d8,2025-11-06T06:18:54.621,35.22,SGD,SG,Merchant_56,ecommerce,dev_8145a9c9,none,upi,0,normal,none
1,9e061538-8b0d-4990-9e5c-e9bf9500699b,acct_6d3d5427e1,none,2025-11-06T11:59:47.462,45.13,GBP,GB,Merchant_46,bank_transfer,dev_5c32b18b,none,upi,0,normal,none
2,83fa198e-9493-4c21-a30e-8debd5bf86af,acct_f7f6c4dd82,none,2025-11-06T14:20:23.347,109.88,INR,IN,Merchant_40,food_delivery,dev_28778cda,none,upi,0,normal,none
3,f937d5e7-ea09-4483-b3a6-0fc02e890be5,acct_f7f6c4dd82,none,2025-11-06T14:36:32.347,870.44,AED,AE,Merchant_33,food_delivery,dev_d159d284,none,upi,0,normal,none
4,fe593879-bd45-4aa0-9f7d-43e30322dd1f,acct_f7f6c4dd82,acct_e845b1da3a,2025-11-06T14:36:32.347,260.77,AED,AE,Merchant_89,salary,dev_dd0e6ac6,none,upi,0,normal,none
5,98e67db1-aa59-42f2-802b-a4b441d73468,acct_f7f6c4dd82,none,2025-11-06T14:38:02.347,7441.16,GBP,GB,Merchant_39,salary,dev_1f769db2,bank_035caa,bank,0,normal,none
6,1ce3fbe4-8a37-4021-ba86-4f617e30bf11,acct_f7f6c4dd82,none,2025-11-06T14:38:40.347,341.56,AED,AE,Merchant_11,salary,dev_15ca6641,bank_d4cfa8,bank,0,normal,none
7,5d88b79a-7f19-4156-8a1a-ba2dfae8e999,acct_6d3d5427e1,none,2025-11-06T15:07:38.462,146.05,SGD,SG,Merchant_42,utilities,dev_618dfed2,none,upi,0,normal,none
8,254799cf-51a2-4708-899d-9317ea04f3ae,acct_6d3d5427e1,none,2025-11-06T16:19:10.462,61.69,GBP,GB,Merchant_45,ecommerce,dev_2730cae3,none,upi,0,normal,none
9,7fa22f93-9435-4303-8385-14a9d3b13260,acct_f7f6c4dd82,none,2025-11-06T17:08:47.347,1336.52,GBP,GB,Merchant_58,entertainment,dev_1ddc0b2e,bank_41e72d,bank,0,normal,none
10,f6714286-4e8d-431b-9fe0-b0fe015e1a4c,acct_f486317e08,none,2025-11-06T17:37:18.621,52.55,GBP,GB,Merchant_77,bank_transfer,dev_90fd48c9,none,upi,0,normal,none
11,e64ba25b-0a62-4a21-837e-0d82e212395d,acct_f7f6c4dd82,none,2025-11-06T18:27:43.347,655.48,SGD,SG,Merchant_68,bank_transfer,dev_b65baddc,bank_2143db,bank,0,normal,none
12,75260817-6bd0-413f-b91a-22c3f02ec957,acct_6d3d5427e1,none,2025-11-06T19:26:03.462,22.54,SGD,SG,Merchant_22,entertainment,dev_d709b3f2,none,upi,0,normal,none
13,d2bad831-6572-4853-b8f3-ce9341a4f081,acct_f486317e08,none,2025-11-06T19:43:44.621,328.18,INR,IN,Merchant_81,travel,dev_03a5ec65,bank_e59822,bank,0,normal,none
14,cfd037d1-af3d-4db6-a050-a79dd3d44324,acct_6d3d5427e1,none,2025-11-06T20:18:57.462,124.31,USD,US,Merchant_66,bank_transfer,dev_9bc5fe9a,none,upi,0,normal,none
15,0b4e37d2-6334-4c70-8e10-07271e907da0,acct_21c3b858f4,none,2025-11-06T20:38:32.712,30.22,SGD,SG,Merchant_47,salary,dev_c11f29d8,none,upi,0,normal,none
16,b2eb8b7d-41d9-4a76-a355-929d582ef44a,acct_6e60a57768,none,2025-11-06T22:19:33.768,23.17,AED,AE,Merchant_63,utilities,dev_ad406c0b,none,upi,0,normal,none
17,8d01d957-1785-4759-b78e-dcd72d6073e3,acct_174b7deaaf,none,2025-11-07T00:00:00.234,46.27,GBP,GB,Merchant_53,food_delivery,dev_098a8caa,none,upi,0,normal,none
18,7d62b4c0-b989-4dd0-8791-bfbaabbaf4a5,acct_174b7deaaf,none,2025-11-07T00:24:14.234,961.46,INR,IN,Merchant_35,ecommerce,dev_21477d65,bank_fe4661,bank,0,normal,none
19,2cde26f0-4d79-4cd8-9943-e4ebdb52bb9a,acct_f7f6c4dd82,none,2025-11-07T00:25:58.347,96.96,USD,US,Merchant_12,food_delivery,dev_9b06c21b,bank_e80e33,bank,0,normal,none
20,1fde7f66-263e-4449-be63-1d2bb4b42e20,acct_8507af6e63,none,2025-11-07T00:39:18.726,59.06,AED,AE,Merchant_76,travel,dev_e129bbb2,none,upi,0,normal,none
